time , aircraft_id ,type,lat,lon
0,1,B747,60.0,30.0
0,2,B747,59.989490230119294,31.667511932621775
0,3,B747,60.70900468849565,30.815246960984304
0,4,B747,45.96396108303974,31.552204780040217
0,5,B747,45.846744467616084,29.48806890265932
0,6,B747,60.27585144658701,41.5806230694203
0,7,B747,61.096796519227965,41.28101814305741
0,8,B747,60.554393002094045,39.98138271870297
0,9,B747,60.8300373405912,41.589372793862296
0,10,B747,61.65099764322797,41.28440228843655
10,1,B747,60.0,30.051852185769768
10,2,B747,60.011942885178456,31.641584396648526
10,3,B747,60.686552033436485,30.78876113451633
10,4,B747,45.9591284505704,31.588847126436157
10,5,B747,45.82877875313377,29.514898272296413
10,6,B747,60.30138366386536,41.57153930973564
10,7,B747,61.080131547953975,41.23993910324639
10,8,B747,60.56326024809841,40.030948173189635
10,9,B747,60.85556955786954,41.580131967529255
10,10,B747,61.63433267195398,41.242589027962964
20,1,B747,60.0,30.099873261498324
20,2,B747,60.03273662092743,31.617556873783105
20,3,B747,60.66575829768751,30.76424863702723
20,4,B747,45.9546528782038,31.622779305753888
20,5,B747,45.81214043937968,29.539737655498097
20,6,B747,60.325029427708095,41.56312039743356
20,7,B747,61.06469787171291,41.201914406795815
20,8,B747,60.57147233570007,40.07686355228863
20,9,B747,60.87921532171228,41.57156733762917
20,10,B747,61.61889899571291,41.20388515691327
30,1,B747,60.0,30.14406322718567
30,2,B747,60.051871437366216,31.595432950470297
30,3,B747,60.646623481248724,30.741705664576948
30,4,B747,45.95053436593995,31.654001972829427
30,5,B747,45.79682952635382,29.56258883059495
30,6,B747,60.34678873811521,41.55536777711705
30,7,B747,61.050495490504765,41.16693960900268
30,8,B747,60.57902926489904,40.11912607865551
30,9,B747,60.90097463211939,41.5636804072017
30,10,B747,61.60469661450477,41.16828604561503
40,1,B747,60.0,30.184422082831794
40,2,B747,60.069347334494815,31.575215934005268
40,3,B747,60.629147584120126,30.721128725840448
40,4,B747,45.946772913778865,31.682515729889186
40,5,B747,45.782846014056176,29.583453431373073
