time , aircraft_id ,type,lat,lon
0,1,B747,60.0,30.0
0,2,B747,59.989490230119294,31.667511932621775
0,3,B747,47.8716870510898,24.543029808547377
0,4,B747,45.832967837431006,30.079330464256913
0,5,B747,50.00631086170675,23.514270964578916
0,6,B747,52.20530087624907,24.365371265326047
0,7,B747,49.621058143611684,23.566856894858553
0,8,B747,50.52961624937026,36.46855046797562
0,9,B747,60.27585144658701,41.5806230694203
0,10,B747,61.096796519227965,41.28101814305741
10,1,B747,60.0,30.051852185769768
10,2,B747,60.011942885178456,31.641584396648526
10,3,B747,47.88993551177884,24.57048947320176
10,4,B747,45.85394691834778,30.10119767562891
10,5,B747,50.00312635595905,23.47423874720692
10,6,B747,52.225989006101685,24.3908752988856
10,7,B747,49.630709399236906,23.52970981328282
10,8,B747,50.52368642468724,36.42884946672809
10,9,B747,60.30138366386536,41.57153930973564
10,10,B747,61.080131547953975,41.23993910324639
20,1,B747,60.0,30.099873261498324
20,2,B747,60.03273662092743,31.617556873783105
20,3,B747,47.906835680974574,24.59592887283371
20,4,B747,45.87337595530087,30.121456553908523
20,5,B747,50.00017713811223,23.43716667505679
20,6,B747,52.245148588973386,24.414505521861354
20,7,B747,49.6396475697378,23.495300811784464
20,8,B747,50.51819472639273,36.39208621463631
20,9,B747,60.325029427708095,41.56312039743356
20,10,B747,61.06469787171291,41.201914406795815
30,1,B747,60.0,30.14406322718567
30,2,B747,60.051871437366216,31.595432950470297
30,3,B747,47.92238755867701,24.619346032833793
30,4,B747,45.89125494829029,30.140105416289583
30,5,B747,49.9974632081663,23.40305420487768
30,6,B747,52.26277962486417,24.436259510834585
30,7,B747,49.64787265511437,23.463631394640327
30,8,B747,50.51314115448667,36.35825968926041
30,9,B747,60.34678873811521,41.55536777711705
30,10,B747,61.050495490504765,41.16693960900268
40,1,B747,60.0,30.184422082831794
40,2,B747,60.069347334494815,31.575215934005268
40,3,B747,47.93659114488614,24.640739133879013
40,4,B747,45.907583897316044,30.15714271203529
40,5,B747,49.99498456612127,23.371900837006887
