time , aircraft_id ,type,lat,lon
0,1,B747,60.0,30.0
0,2,B747,59.989490230119294,31.667511932621775
0,3,B747,53.0137137731805,25.37182963531503
0,4,B747,46.33276306360616,32.970466310165904
0,5,B747,60.27585144658701,41.5806230694203
0,6,B747,61.096796519227965,41.28101814305741
0,7,B747,60.554393002094045,39.98138271870297
0,8,B747,60.8300373405912,41.589372793862296
0,9,B747,61.65099764322797,41.28440228843655
0,10,B747,61.108433991555344,39.96201416625556
10,1,B747,60.0,30.051852185769768
10,2,B747,60.011942885178456,31.641584396648526
10,3,B747,53.03219482690522,25.341599700725254
10,4,B747,46.35850495834096,32.97493542756382
10,5,B747,60.30138366386536,41.57153930973564
10,6,B747,61.080131547953975,41.23993910324639
10,7,B747,60.56326024809841,40.030948173189635
10,8,B747,60.85556955786954,41.580131967529255
10,9,B747,61.63433267195398,41.242589027962964
10,10,B747,61.11730123755971,40.01244599917275
20,1,B747,60.0,30.099873261498324
20,2,B747,60.03273662092743,31.617556873783105
20,3,B747,53.04931040394953,25.313591798705264
20,4,B747,46.3823449075756,32.97907621434819
20,5,B747,60.325029427708095,41.56312039743356
20,6,B747,61.06469787171291,41.201914406795815
20,7,B747,60.57147233570007,40.07686355228863
20,8,B747,60.87921532171228,41.57156733762917
20,9,B747,61.61889899571291,41.20388515691327
20,10,B747,61.12551332516137,40.05916423783007
30,1,B747,60.0,30.14406322718567
30,2,B747,60.051871437366216,31.595432950470297
30,3,B747,53.06506050431342,25.287808572203698
30,4,B747,46.40428291131008,32.98288824137309
30,5,B747,60.34678873811521,41.55536777711705
30,6,B747,61.050495490504765,41.16693960900268
30,7,B747,60.57902926489904,40.11912607865551
30,8,B747,60.90097463211939,41.5636804072017
30,9,B747,61.60469661450477,41.16828604561503
30,10,B747,61.13307025436034,40.102165991473925
40,1,B747,60.0,30.184422082831794
40,2,B747,60.069347334494815,31.575215934005268
40,3,B747,53.079445127996905,25.264252456709688
40,4,B747,46.424318969544395,32.98637111301989
40,5,B747,60.36666159508671,41.54828278140776
